"Lewy kontekst","Rezultat","Prawy kontekst","Interpretacja","Nazwa własna","Relacja zależnościowa","Lemat nadrzędnika","Izba","Typ","Autor","Mówca","Przynależność mówcy","Rola mówcy","Płeć mówcy","Komisja","Data","Timestamp","Rok","Ustrój","Numer kadencji","Etykieta","Tytuł","Sesja","Dzień","Numer","Część"
" Tam i w wielu innych ośrodkach pan premier dba o"," digitalizację",". Doceńcie to, ponieważ to jest przełożenie tych dzieł","[digitalizacja:subst:sg:acc:f]","_","comp","o","Sejm","Posiedzenie plenarne","","Mateusz Morawiecki","_","Prezes Rady Ministrów","mężczyzna","","2018-05-08","1525737600","2018","III RP","8","201519-sjm-ppxxx-00062-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 8 maja 2018 r. (kadencja VIII, Posiedzenie Plenarne 62, dzień 1).","62","1","",""
" nie tylko muzea, nie tylko instytuty, nie tylko"," digitalizacja",", o której mówiłem. To również ta substancja","[digitalizacja:subst:sg:nom:f]","_","conjunct","tylko","Sejm","Posiedzenie plenarne","","Mateusz Morawiecki","_","Prezes Rady Ministrów","mężczyzna","","2018-05-08","1525737600","2018","III RP","8","201519-sjm-ppxxx-00062-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 8 maja 2018 r. (kadencja VIII, Posiedzenie Plenarne 62, dzień 1).","62","1","",""
" III Rzeszy. Brak było także jednolitej polityki udostępniania i"," digitalizacji"," źródeł na terenie całego kraju. Każde archiwum de facto","[digitalizacja:subst:sg:gen:f]","_","conjunct","i","Sejm","Posiedzenie plenarne","","Piotr Gliński","Klub Parlamentarny Prawo i Sprawiedliwość","Wiceprezes Rady Ministrów Minister Kultury i Dziedzictwa Narodowego","mężczyzna","","2016-05-11","1462924800","2016","III RP","8","201519-sjm-ppxxx-00018-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 11 maja 2016 r. (kadencja VIII, Posiedzenie Plenarne 18, dzień 1).","18","1","",""
" przecież tak niezwykle cenne, dbać o nie i je"," digitalizować",". A więc ta część współczesnej działalności Ossolineum wydaje się","[digitalizować:inf:imperf]","_","conjunct","i","Sejm","Posiedzenie plenarne","","Mirosława Stachowiak-Różecka","Klub Parlamentarny Prawo i Sprawiedliwość","Poseł","kobieta","","2017-12-13","1513123200","2017","III RP","8","201519-sjm-ppxxx-00054-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 13 grudnia 2017 r. (kadencja VIII, Posiedzenie Plenarne 54, dzień 2).","54","2","",""
" w Katowicach, ale także inwestowanie w biblioteki, w"," digitalizację",", cyfryzację (np. Bibliotekę Raczyńskich), w","[digitalizacja:subst:sg:acc:f]","_","comp","w","Sejm","Posiedzenie plenarne","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","","2011-02-04","1296777600","2011","III RP","6","200711-sjm-ppxxx-00084-04","Sprawozdanie stenograficzne z obrad Sejmu RP z 4 lutego 2011 r. (kadencja VI, Posiedzenie Plenarne 84, dzień 4).","84","4","",""
" założenia, że bez pieniędzy da się utrzymać kulturę."," Digitalizacja"," w sferze kultury. Na Wschodzie, w Federacji Rosyjskiej","[digitalizacja:subst:sg:nom:f]","_","root",".","Sejm","Posiedzenie plenarne","","Krzysztof Tołwiński","_","Poseł","mężczyzna","","2011-02-04","1296777600","2011","III RP","6","200711-sjm-ppxxx-00084-04","Sprawozdanie stenograficzne z obrad Sejmu RP z 4 lutego 2011 r. (kadencja VI, Posiedzenie Plenarne 84, dzień 4).","84","4","",""
" zabezpieczeniem tych zbiorów, udostępnieniem ich badaczom, społeczeństwu poprzez"," digitalizację"," archiwaliów. Czasami może być to jedyna możliwość, okazja","[digitalizacja:subst:sg:acc:f]","_","comp","poprzez","Sejm","Posiedzenie plenarne","","Krzysztof Tołwiński","_","Poseł","mężczyzna","","2011-02-04","1296777600","2011","III RP","6","200711-sjm-ppxxx-00084-04","Sprawozdanie stenograficzne z obrad Sejmu RP z 4 lutego 2011 r. (kadencja VI, Posiedzenie Plenarne 84, dzień 4).","84","4","",""
". Zabytki, pytania dotyczące zabytków - trochę polityki,"," digitalizacji",", zresztą bardzo konkretnej, bo dotyczącej wschodu, czyli","[digitalizacja:subst:sg:gen:f]","_","conjunct",",","Sejm","Posiedzenie plenarne","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","","2011-02-04","1296777600","2011","III RP","6","200711-sjm-ppxxx-00084-04","Sprawozdanie stenograficzne z obrad Sejmu RP z 4 lutego 2011 r. (kadencja VI, Posiedzenie Plenarne 84, dzień 4).","84","4","",""
" wymagający oceny, opinii, a druga część to właśnie"," digitalizacja",". W ramach tego programu, ale także innych programów","[digitalizacja:subst:sg:nom:f]","_","subj","to","Sejm","Posiedzenie plenarne","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","","2011-02-04","1296777600","2011","III RP","6","200711-sjm-ppxxx-00084-04","Sprawozdanie stenograficzne z obrad Sejmu RP z 4 lutego 2011 r. (kadencja VI, Posiedzenie Plenarne 84, dzień 4).","84","4","",""
", gdzie to zadanie uzyskało status najważniejszego zadania. Mamy"," digitalizację",", upowszechnienie, ratowanie zabytków, ale też doprowadzenie do","[digitalizacja:subst:sg:acc:f]","_","conjunct",",","Sejm","Posiedzenie plenarne","","Bogdan Zdrojewski","Klub Parlamentarny Platforma Obywatelska","Minister Kultury i Dziedzictwa Narodowego","mężczyzna","","2011-02-04","1296777600","2011","III RP","6","200711-sjm-ppxxx-00084-04","Sprawozdanie stenograficzne z obrad Sejmu RP z 4 lutego 2011 r. (kadencja VI, Posiedzenie Plenarne 84, dzień 4).","84","4","",""
" nim Komisja Europejska, która w swojej „Rekomendacji o"," digitalizacji"," i dostępności on-line dzieł kultury i o zachowaniu dziedzictwa cyfrowego","[digitalizacja:subst:sg:loc:f]","_","conjunct","i","Sejm","Posiedzenie plenarne","","Maciej Orzechowski","Klub Parlamentarny Platforma Obywatelska","Poseł","mężczyzna","","2010-05-20","1274313600","2010","III RP","6","200711-sjm-ppxxx-00067-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 20 maja 2010 r. (kadencja VI, Posiedzenie Plenarne 67, dzień 2).","67","2","",""
" osieroconych i dzieł znajdujących się w domenie publicznej poprawiły warunki"," digitalizacji"," dzieł osieroconych. Temat ten znany jest w Kanadzie,","[digitalizacja:subst:sg:gen:f]","_","comp","warunki","Sejm","Posiedzenie plenarne","","Maciej Orzechowski","Klub Parlamentarny Platforma Obywatelska","Poseł","mężczyzna","","2010-05-20","1274313600","2010","III RP","6","200711-sjm-ppxxx-00067-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 20 maja 2010 r. (kadencja VI, Posiedzenie Plenarne 67, dzień 2).","67","2","",""
" 50 czy nawet 70 lat? Czy jest możliwa ich"," digitalizacja","? Dziękuję bardzo. Dziękuję bardzo panu posłowi. Proszę","[digitalizacja:subst:sg:nom:f]","_","subj","być","Sejm","Posiedzenie plenarne","","Maciej Orzechowski","Klub Parlamentarny Platforma Obywatelska","Poseł","mężczyzna","","2010-05-20","1274313600","2010","III RP","6","200711-sjm-ppxxx-00067-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 20 maja 2010 r. (kadencja VI, Posiedzenie Plenarne 67, dzień 2).","67","2","",""
". Projekty takie umożliwiają nam dzielenie się doświadczeniami w zakresie"," digitalizacji"," procesu kontrolnego, zapewnienia jakości kontroli oraz zgodności procedury kontrolnej","[digitalizacja:subst:sg:gen:f]","_","conjunct","oraz","Sejm","Posiedzenie plenarne","","Marian Banaś","_","Prezes Najwyższej Izby Kontroli","mężczyzna","","2021-09-17","1631836800","2021","III RP","9","201923-sjm-ppxxx-00037-03","Sprawozdanie stenograficzne z obrad Sejmu RP z 17 września 2021 r. (kadencja IX, Posiedzenie Plenarne 37, dzień 3).","37","3","",""
" monitorują proces kontroli. Od ponad roku przygotowujemy się do"," digitalizacji"," procesu kontrolnego w Najwyższej Izbie Kontroli. Projektowany system analityczny","[digitalizacja:subst:sg:gen:f]","_","comp","do","Sejm","Posiedzenie plenarne","","Marian Banaś","_","Prezes Najwyższej Izby Kontroli","mężczyzna","","2021-09-17","1631836800","2021","III RP","9","201923-sjm-ppxxx-00037-03","Sprawozdanie stenograficzne z obrad Sejmu RP z 17 września 2021 r. (kadencja IX, Posiedzenie Plenarne 37, dzień 3).","37","3","",""
". Czy naprawdę stać nas na to, żeby finansować"," digitalizację"," dóbr kultury na Ukrainie? Szanowni Państwo! Wspieramy Ukrainę","[digitalizacja:subst:sg:acc:f]","_","obj","finansować","Sejm","Posiedzenie plenarne","","Krzysztof Tuduj","Koło Poselskie Konfederacja","Poseł","mężczyzna","","2022-12-14","1670976000","2022","III RP","9","201923-sjm-ppxxx-00068-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 14 grudnia 2022 r. (kadencja IX, Posiedzenie Plenarne 68, dzień 2).","68","2","",""
" w Unii Europejskiej powstał specjalny zespół, który zajął się"," digitalizacją"," danych medycznych obywateli Unii Europejskiej. Przemieszczamy się, wyjeżdżamy","[digitalizacja:subst:sg:inst:f]","_","obj_th","zająć","Sejm","Posiedzenie plenarne","","Waldemar Kraska","_","Sekretarz Stanu w Ministerstwie Zdrowia","mężczyzna","","2022-06-09","1654732800","2022","III RP","9","201923-sjm-ppxxx-00056-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 9 czerwca 2022 r. (kadencja IX, Posiedzenie Plenarne 56, dzień 2).","56","2","",""
" tam zarchiwizowane, będą czytelnie, będą tam przestrzenie do"," digitalizacji"," zasobów. A więc, moi drodzy państwo, to","[digitalizacja:subst:sg:gen:f]","_","comp","do","Sejm","Posiedzenie plenarne","","Patryk Wicher","Klub Parlamentarny Prawo i Sprawiedliwość","Poseł","mężczyzna","","2021-09-29","1632873600","2021","III RP","9","201923-sjm-ppxxx-00038-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 29 września 2021 r. (kadencja IX, Posiedzenie Plenarne 38, dzień 1).","38","1","",""
" Izbo! Ustosunkujemy się do tego na piśmie, ponieważ"," digitalizacja",", wszelkie przenoszenie dokumentacji standardowej w obszar cyfrowy związane jest","[digitalizacja:subst:sg:nom:f]","_","subj","być","Sejm","Posiedzenie plenarne","","Piotr Żuchowski","_","Sekretarz Stanu w Ministerstwie Kultury i Dziedzictwa Narodowego","mężczyzna","","2015-03-19","1426723200","2015","III RP","7","201115-sjm-ppxxx-00089-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 19 marca 2015 r. (kadencja VII, Posiedzenie Plenarne 89, dzień 2).","89","2","",""
", która już częściowo została zrealizowana, z odtworzeniem,"," digitalizacją"," i rekonstrukcją archiwów itd., itd. Czyli to","[digitalizacja:subst:sg:inst:f]","_","conjunct","i","Senat","Posiedzenie plenarne","","Witold Kołodziejski","_","Przewodniczący Krajowej Rady Radiofonii i Telewizji","mężczyzna","","2017-07-18","1500336000","2017","III RP","9","201519-snt-ppxxx-00045-04","Sprawozdanie stenograficzne z obrad Senatu RP z 18 lipca 2017 r. (kadencja IX, Posiedzenie Plenarne 45, dzień 4).","45","4","",""
". W sposób szczególny to nasze wsparcie w porządkowaniu i"," digitalizacji"," zbiorów dotyczy Instytutu Piłsudskiego w Nowym Jorku, Biblioteki Polskiej","[digitalizacja:subst:sg:loc:f]","_","conjunct","i","Senat","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" nie tylko opracowywaliśmy pewne kolekcje i poddawaliśmy je"," digitalizacji",", ale także wspólnie przygotowaliśmy portal internetowy i wystawę","[digitalizacja:subst:sg:dat:f]","_","obj_th","poddawać","Senat","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" powiedzieć, najlepszym systemem informacji archiwalnej w Polsce, dzięki"," digitalizacji"," zbiorów, która tylko w roku ubiegłym objęła 33 tysiące","[digitalizacja:subst:sg:dat:f]","_","comp","dzięki","Senat","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" 3 pytań, pytanie dotyczy pionu archiwalnego. Ten proces"," digitalizacji",", który istnieje, jak najbardziej jest szalenie ważny i","[digitalizacja:subst:sg:gen:f]","_","comp","proces","Senat","Posiedzenie plenarne","","Jan Żaryn","Klub Parlamentarny Prawo i Sprawiedliwość","Senator","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" jest takie: w jakiej mierze to zadanie, czyli"," digitalizacja",", współgra – albo czy w ogóle może współgrać –","[digitalizacja:subst:sg:nom:f]","_","conjunct","czyli","Senat","Posiedzenie plenarne","","Jan Żaryn","Klub Parlamentarny Prawo i Sprawiedliwość","Senator","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" Panie Prezesie, muszą zaistnieć inne warunki, niezależne od"," digitalizacji",", które by zdołały spowodować zdolność Instytutu Pamięci Narodowej porównywalną","[digitalizacja:subst:sg:gen:f]","_","comp","od","Senat","Posiedzenie plenarne","","Jan Żaryn","Klub Parlamentarny Prawo i Sprawiedliwość","Senator","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
"-państwowych – tak to uproszczę. Jeśli chodzi o"," digitalizację",", to chciałbym powiedzieć 2 rzeczy. Pierwsza","[digitalizacja:subst:sg:acc:f]","_","comp","o","Senat","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" świecie, może poza jakimiś niewielkimi, nie dąży do"," digitalizacji"," zbiorów w 100%, co jest związane z barierami","[digitalizacja:subst:sg:gen:f]","_","comp","do","Senat","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" na razie w ogóle nie są przez nikogo wykorzystywane."," Digitalizujemy"," te materiały, które są zagrożone zniszczeniem, po to","[digitalizować:fin:pl:pri:imperf]","_","root",".","Senat","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" który prowadzi niemiecki Instytut Fraunhofera, a który polega na"," digitalizacji"," tego typu podartych dokumentów i następnie na ich cyfrowym odtwarzaniu","[digitalizacja:subst:sg:loc:f]","_","comp","na","Senat","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2016-06-16","1466035200","2016","III RP","9","201519-snt-ppxxx-00020-02","Sprawozdanie stenograficzne z obrad Senatu RP z 16 czerwca 2016 r. (kadencja IX, Posiedzenie Plenarne 20, dzień 2).","20","2","",""
" w dokumentach, które uzyskaliśmy, była informacja o"," digitalizacji"," archiwów. To jest szalenie ważna, istotna sprawa.","[digitalizacja:subst:sg:loc:f]","_","comp","o","Senat","Posiedzenie plenarne","","Barbara Borys-Damięcka","Klub Parlamentarny Platforma Obywatelska","Senator","kobieta","","2015-06-25","1435190400","2015","III RP","8","201115-snt-ppxxx-00077-02","Sprawozdanie stenograficzne z obrad Senatu RP z 25 czerwca 2015 r. (kadencja VIII, Posiedzenie Plenarne 77, dzień 2).","77","2","",""
" szalenie ważna, istotna sprawa. Wiodącym organem zajmującym się"," digitalizacją"," archiwów publicznych, a szczególnie programów artystycznych, był instytut","[digitalizacja:subst:sg:inst:f]","_","obj_th","zajmować","Senat","Posiedzenie plenarne","","Barbara Borys-Damięcka","Klub Parlamentarny Platforma Obywatelska","Senator","kobieta","","2015-06-25","1435190400","2015","III RP","8","201115-snt-ppxxx-00077-02","Sprawozdanie stenograficzne z obrad Senatu RP z 25 czerwca 2015 r. (kadencja VIII, Posiedzenie Plenarne 77, dzień 2).","77","2","",""
" trochę martwię, to jest wszystko to, co dotyczy"," digitalizacji",", programy, internet dla wszystkich itd. Wczoraj w","[digitalizacja:subst:sg:gen:f]","_","conjunct",",","Senat","Posiedzenie plenarne","","Danuta Hübner","_","Komisarz Komisji Europejskiej doSpraw Polityki Regionalnej","kobieta","","2008-12-19","1229644800","2008","III RP","7","200711-snt-ppxxx-00024-04","Sprawozdanie stenograficzne z obrad Senatu RP z 19 grudnia 2008 r. (kadencja VII, Posiedzenie Plenarne 24, dzień 4).","24","4","",""
" jest ta grupa działań, obok dużych projektów ważna jest"," digitalizacja",", wydaje mi się, że powinniśmy zrobić więcej","[digitalizacja:subst:sg:nom:f]","_","subj","być","Senat","Posiedzenie plenarne","","Danuta Hübner","_","Komisarz Komisji Europejskiej doSpraw Polityki Regionalnej","kobieta","","2008-12-19","1229644800","2008","III RP","7","200711-snt-ppxxx-00024-04","Sprawozdanie stenograficzne z obrad Senatu RP z 19 grudnia 2008 r. (kadencja VII, Posiedzenie Plenarne 24, dzień 4).","24","4","",""
" że, też ze względu na spory budżet, poprawił"," digitalizację"," swoich zasobów, że te materiały są dostępne nie tylko","[digitalizacja:subst:sg:acc:f]","_","obj","poprawić","Senat","Posiedzenie plenarne","","Bogdan Zdrojewski","Klub Parlamentarny Koalicja Obywatelska – Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni","Senator","mężczyzna","","2023-06-22","1687392000","2023","III RP","10","201923-snt-ppxxx-00063-02","Sprawozdanie stenograficzne z obrad Senatu RP z 22 czerwca 2023 r. (kadencja X, Posiedzenie Plenarne 63, dzień 2).","63","2","",""
" kanałów tematycznych, cyfryzacji radiofonii publicznej czy stworzenie kompatybilnego systemu"," digitalizacji"," zasobów archiwalnych wszystkich 19 spółek mediów publicznych. Niewątpliwie przygotowanie","[digitalizacja:subst:sg:gen:f]","_","comp","system","Sejm","Posiedzenie plenarne","","Jan Dworak","_","Przewodniczący Krajowej Rady Radiofonii i Telewizji","mężczyzna","","2013-06-20","1371686400","2013","III RP","7","201115-sjm-ppxxx-00044-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 20 czerwca 2013 r. (kadencja VII, Posiedzenie Plenarne 44, dzień 2).","44","2","",""
"” (na kwotę 7 mln zł) oraz na"," digitalizację"," zbiorów w archiwach państwowych (na kwotę 3 mln zł","[digitalizacja:subst:sg:acc:f]","_","comp","na","Sejm","Posiedzenie plenarne","","Sławomir Neumann","Klub Parlamentarny Platforma Obywatelska","Poseł Sprawozdawca","mężczyzna","","2012-01-25","1327449600","2012","III RP","7","201115-sjm-ppxxx-00006-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 25 stycznia 2012 r. (kadencja VII, Posiedzenie Plenarne 6, dzień 1).","6","1","",""
" 83: Rezerwy celowe nowej rezerwy celowej pod nazwą „","Digitalizacja"," zbiorów Ossolineum we Lwowie” (kwota 1 mln zł","[digitalizacja:subst:sg:nom:f]","_","app","nazwa","Sejm","Posiedzenie plenarne","","Sławomir Neumann","Klub Parlamentarny Platforma Obywatelska","Poseł Sprawozdawca","mężczyzna","","2012-01-25","1327449600","2012","III RP","7","201115-sjm-ppxxx-00006-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 25 stycznia 2012 r. (kadencja VII, Posiedzenie Plenarne 6, dzień 1).","6","1","",""
" MSZ. Archiwa państwowe otrzymają dodatkowe 3 mln zł na"," digitalizację"," zbiorów. Na leczenie chorych na hemofilię i pokrewne skazy","[digitalizacja:subst:sg:acc:f]","_","comp","na","Sejm","Posiedzenie plenarne","","Zbigniew Konwiński","Klub Parlamentarny Platforma Obywatelska","Poseł","mężczyzna","","2012-01-25","1327449600","2012","III RP","7","201115-sjm-ppxxx-00006-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 25 stycznia 2012 r. (kadencja VII, Posiedzenie Plenarne 6, dzień 1).","6","1","",""
" w złym stanie. Elementem tego ostatniego procesu jest także"," digitalizacja",", która pozwala na udostępnianie użytkownikom dokumentów w postaci cyfrowej","[digitalizacja:subst:sg:nom:f]","_","subj","być","Sejm","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2012-09-11","1347321600","2012","III RP","7","201115-sjm-ppxxx-00021-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 11 września 2012 r. (kadencja VII, Posiedzenie Plenarne 21, dzień 1).","21","1","",""
" Archiwiści IPN wspierają także polskie instytucje emigracyjne w porządkowaniu i"," digitalizacji"," ich kolekcji. Pomoc ta w latach 2009–2011","[digitalizacja:subst:sg:loc:f]","_","conjunct","i","Sejm","Posiedzenie plenarne","","Łukasz Kamiński","_","Prezes Instytutu Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu","mężczyzna","","2012-09-11","1347321600","2012","III RP","7","201115-sjm-ppxxx-00021-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 11 września 2012 r. (kadencja VII, Posiedzenie Plenarne 21, dzień 1).","21","1","",""
" archiwalna. W latach 2009–2010 rozpoczął się proces"," digitalizacji"," zasobów IPN. Digitalizacja dotyczyła głównie materiałów z czasów II","[digitalizacja:subst:sg:gen:f]","_","comp","proces","Sejm","Posiedzenie plenarne","","Ligia Krajewska","Klub Parlamentarny Platforma Obywatelska","Poseł","kobieta","","2012-09-11","1347321600","2012","III RP","7","201115-sjm-ppxxx-00021-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 11 września 2012 r. (kadencja VII, Posiedzenie Plenarne 21, dzień 1).","21","1","",""
" 2009–2010 rozpoczął się proces digitalizacji zasobów IPN."," Digitalizacja"," dotyczyła głównie materiałów z czasów II wojny światowej oraz z","[digitalizacja:subst:sg:nom:f]","_","subj","dotyczyć","Sejm","Posiedzenie plenarne","","Ligia Krajewska","Klub Parlamentarny Platforma Obywatelska","Poseł","kobieta","","2012-09-11","1347321600","2012","III RP","7","201115-sjm-ppxxx-00021-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 11 września 2012 r. (kadencja VII, Posiedzenie Plenarne 21, dzień 1).","21","1","",""
" w 2007 r. służba poszukiwawcza międzynarodowego Czerwonego Krzyża zakończyła"," digitalizację"," zasobów i ostatecznie w 2009 r. uzyskaliście państwo","[digitalizacja:subst:sg:acc:f]","_","obj","zakończyć","Sejm","Posiedzenie plenarne","","Anna Fotyga","_","Poseł","kobieta","","2012-09-11","1347321600","2012","III RP","7","201115-sjm-ppxxx-00021-01","Sprawozdanie stenograficzne z obrad Sejmu RP z 11 września 2012 r. (kadencja VII, Posiedzenie Plenarne 21, dzień 1).","21","1","",""
"m tak: Lepiej późno niż wcale. Informatyzacja,"," digitalizacja"," aktów stanu cywilnego powinna nastąpić przynajmniej 10 lat temu.","[digitalizacja:subst:sg:nom:f]","_","conjunct",",","Sejm","Posiedzenie plenarne","","Wincenty Elsner","Klub Parlamentarny Sojuszu Lewicy Demokratycznej","Poseł","mężczyzna","","2014-07-24","1406160000","2014","III RP","7","201115-sjm-ppxxx-00072-03","Sprawozdanie stenograficzne z obrad Sejmu RP z 24 lipca 2014 r. (kadencja VII, Posiedzenie Plenarne 72, dzień 3).","72","3","",""
" wszelkich danych to jest kserokopia dokumentu papierowego, odwzorowanie,"," digitalizacja",". Jeżeli rejestr miałby wyglądać w ten sposób,","[digitalizacja:subst:sg:nom:f]","_","conjunct",",","Sejm","Posiedzenie plenarne","","Wincenty Elsner","Klub Parlamentarny Sojuszu Lewicy Demokratycznej","Poseł","mężczyzna","","2014-07-24","1406160000","2014","III RP","7","201115-sjm-ppxxx-00072-03","Sprawozdanie stenograficzne z obrad Sejmu RP z 24 lipca 2014 r. (kadencja VII, Posiedzenie Plenarne 72, dzień 3).","72","3","",""
", to będzie to przeczyło temu, co rozumiemy przez"," digitalizację",", informatyzację tego systemu. Zresztą przepis art. 123","[digitalizacja:subst:sg:acc:f]","_","comp","przez","Sejm","Posiedzenie plenarne","","Wincenty Elsner","Klub Parlamentarny Sojuszu Lewicy Demokratycznej","Poseł","mężczyzna","","2014-07-24","1406160000","2014","III RP","7","201115-sjm-ppxxx-00072-03","Sprawozdanie stenograficzne z obrad Sejmu RP z 24 lipca 2014 r. (kadencja VII, Posiedzenie Plenarne 72, dzień 3).","72","3","",""
" z przepisami wykonawczymi, które stanowią o przenoszeniu, prawdziwej"," digitalizacji"," aktów stanu cywilnego. (Dzwonek) Kończąc, ostatnie","[digitalizacja:subst:sg:gen:f]","_","conjunct",",","Sejm","Posiedzenie plenarne","","Wincenty Elsner","Klub Parlamentarny Sojuszu Lewicy Demokratycznej","Poseł","mężczyzna","","2014-07-24","1406160000","2014","III RP","7","201115-sjm-ppxxx-00072-03","Sprawozdanie stenograficzne z obrad Sejmu RP z 24 lipca 2014 r. (kadencja VII, Posiedzenie Plenarne 72, dzień 3).","72","3","",""
" istota mojego pytania - rejestrować ważne wydarzenia kulturalne, miała"," digitalizować"," zbiory, miała archiwizować te zbiory, miała te zbiory","[digitalizować:inf:imperf]","_","comp_inf","mieć","Sejm","Posiedzenie plenarne","","Iwona Śledzińska-Katarasińska","Klub Parlamentarny Platforma Obywatelska","Poseł","kobieta","","2015-03-04","1425427200","2015","III RP","7","201115-sjm-ppxxx-00088-02","Sprawozdanie stenograficzne z obrad Sejmu RP z 4 marca 2015 r. (kadencja VII, Posiedzenie Plenarne 88, dzień 2).","88","2","",""
